,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season,all_star
8955,David West,SAS,35,205.74,113.398,Xavier,USA,2003,1,18,78,7.1,4,1.8,11.8,0.061,0.187,0.179,0.573,0.15,2015-16,
8956,Andre Drummond,DET,22,210.82,126.552168,Connecticut,USA,2012,1,9,81,16.2,14.8,0.8,2,0.153,0.343,0.24,0.499,0.042,2015-16,T
8957,Andre Iguodala,GSW,32,198.12,97.52228,Arizona,USA,2004,1,9,65,7,4,3.4,14.4,0.034,0.127,0.12,0.565,0.165,2015-16,
8958,Andre Miller,SAS,40,190.5,90.7184,Utah,USA,1999,1,8,39,3.7,1.3,2.2,5.1,0.036,0.101,0.162,0.6,0.276,2015-16,
8959,Andre Roberson,OKC,24,200.66,95.25432,Colorado,USA,2013,1,26,70,4.8,3.6,0.7,9.4,0.06,0.113,0.093,0.566,0.039,2015-16,
8960,Andrea Bargnani,BKN,30,213.36,111.13004,None,Italy,2006,1,1,46,6.6,2.1,0.4,-15.7,0.047,0.135,0.234,0.5,0.051,2015-16,
8961,Andrew Bogut,GSW,31,213.36,117.93392,Utah,Australia,2005,1,1,70,5.4,7,2.3,14.2,0.094,0.252,0.116,0.623,0.145,2015-16,
8962,Andrew Goudelock,HOU,27,190.5,90.7184,College of Charleston,USA,2011,2,46,8,2.8,0.3,0.5,13.6,0.024,0.015,0.243,0.506,0.118,2015-16,
8963,Andrew Nicholson,ORL,26,205.74,113.398,St. Bonaventure,Canada,2012,1,19,56,6.9,3.6,0.4,1.2,0.045,0.216,0.209,0.567,0.05,2015-16,
8964,Andrew Wiggins,MIN,21,203.2,90.264808,Kansas,Canada,2014,1,1,81,20.7,3.6,2,-1,0.043,0.074,0.269,0.543,0.098,2015-16,
8965,Anthony Bennett,TOR,23,203.2,111.13004,Nevada-Las Vegas,Canada,2013,1,1,19,1.5,1.2,0,-12.5,0.064,0.293,0.181,0.446,0,2015-16,
8966,Anthony Brown,LAL,23,200.66,95.25432,Stanford,USA,2015,2,34,29,4,2.4,0.7,-4.3,0.015,0.116,0.11,0.427,0.048,2015-16,
8967,Anthony Davis,NOP,23,208.28,114.758776,Kentucky,USA,2012,1,1,61,24.3,10.3,1.9,-4.7,0.064,0.262,0.296,0.559,0.1,2015-16,T
8968,Anderson Varejao,GSW,33,210.82,123.830616,None,Brazil,2004,2,30,53,2.6,2.7,0.7,-0.5,0.079,0.23,0.147,0.473,0.102,2015-16,
8969,Anthony Morrow,OKC,30,195.58,95.25432,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,68,5.6,0.9,0.4,4,0.013,0.06,0.171,0.543,0.037,2015-16,
8970,Archie Goodwin,PHX,21,195.58,90.7184,Kentucky,USA,2013,1,29,57,8.9,2.5,2.1,-11,0.026,0.114,0.231,0.498,0.174,2015-16,
8971,Aron Baynes,DET,29,208.28,117.93392,Washington State,Australia,Undrafted,Undrafted,Undrafted,81,6.3,4.7,0.6,-4.7,0.122,0.223,0.187,0.563,0.07,2015-16,
8972,Arron Afflalo,NYK,30,195.58,95.25432,UCLA,USA,2007,1,27,71,12.8,3.7,2,-3.2,0.011,0.109,0.181,0.531,0.097,2015-16,
8973,Austin Rivers,LAC,23,193.04,90.7184,Duke,USA,2012,1,10,67,8.9,1.9,1.5,-2.1,0.016,0.08,0.195,0.523,0.116,2015-16,
8974,Avery Bradley,BOS,25,187.96,81.64656,Texas,USA,2010,1,19,76,15.2,2.9,2.1,4.2,0.02,0.073,0.2,0.538,0.095,2015-16,
8975,Axel Toupane,DEN,23,200.66,95.25432,None,France,Undrafted,Undrafted,Undrafted,21,3.6,1.5,0.7,-2.1,0.032,0.087,0.125,0.49,0.068,2015-16,
8976,Ben McLemore,SAC,23,195.58,88.45044,Kansas,USA,2013,1,7,68,7.8,2.2,1.2,-0.6,0.026,0.083,0.174,0.531,0.076,2015-16,
8977,Beno Udrih,MEM,33,190.5,92.98636,None,Slovenia,2004,1,28,44,4.7,1.6,2.6,-1.3,0.013,0.101,0.172,0.496,0.256,2015-16,
8978,Bismack Biyombo,TOR,23,205.74,111.13004,None,Democratic Republic of the Congo,2011,1,7,82,5.5,8,0.4,3.8,0.115,0.281,0.117,0.586,0.025,2015-16,
8979,Blake Griffin,LAC,27,208.28,113.851592,Oklahoma,USA,2009,1,1,35,21.4,8.4,4.9,7.9,0.048,0.221,0.292,0.544,0.258,2015-16,
8980,Boban Marjanovic,SAS,27,220.98,131.54168,None,Serbia,Undrafted,Undrafted,Undrafted,54,5.5,3.6,0.4,6.6,0.166,0.275,0.229,0.662,0.072,2015-16,
8981,Bobby Portis,CHI,21,210.82,104.32616,Arkansas,USA,2015,1,22,62,7,5.4,0.8,-7.9,0.114,0.21,0.207,0.469,0.076,2015-16,
8982,Anthony Tolliver,DET,31,203.2,108.86208,Creighton,USA,Undrafted,Undrafted,Undrafted,72,5.3,3.2,0.7,-0.7,0.03,0.159,0.126,0.543,0.058,2015-16,
8983,Bojan Bogdanovic,BKN,27,203.2,97.975872,None,Croatia,2011,2,31,79,11.2,3.2,1.3,-8.8,0.019,0.118,0.194,0.55,0.073,2015-16,
8984,Amir Johnson,BOS,29,205.74,108.86208,None,USA,2005,2,56,79,7.3,6.4,1.7,4.6,0.104,0.194,0.137,0.602,0.11,2015-16,
8985,Alonzo Gee,NOP,29,198.12,102.0582,Alabama,USA,Undrafted,Undrafted,Undrafted,73,4.5,3.4,1,-4,0.039,0.126,0.092,0.572,0.063,2015-16,
8986,Jordan Hamilton,NOP,25,200.66,99.79024,Texas,USA,2011,1,26,11,11.4,5.6,2.3,-11.2,0.043,0.194,0.208,0.499,0.128,2015-16,
8987,Jordan Farmar,MEM,29,187.96,81.64656,UCLA,USA,2006,1,26,12,9.2,2.1,3.1,-13.6,0.014,0.097,0.182,0.527,0.198,2015-16,
8988,Jordan Clarkson,LAL,24,195.58,87.996848,Missouri,USA,2014,2,46,79,15.5,4,2.4,-13.1,0.037,0.096,0.228,0.516,0.139,2015-16,
8989,Jordan Adams,MEM,21,195.58,94.800728,UCLA,USA,2014,1,22,2,3.5,1,1.5,5.3,0,0.182,0.286,0.427,0.273,2015-16,
8990,Jonathon Simmons,SAS,26,198.12,88.45044,Houston,USA,Undrafted,Undrafted,Undrafted,55,6,1.7,1.1,7.2,0.025,0.109,0.19,0.586,0.108,2015-16,
8991,Jonas Valanciunas,TOR,24,213.36,115.66596,None,Lithuania,2011,1,5,60,12.8,9.1,0.7,3,0.142,0.273,0.207,0.61,0.045,2015-16,
8992,Jonas Jerebko,BOS,29,208.28,104.779752,None,Sweden,2009,2,39,78,4.4,3.7,0.8,2.9,0.07,0.199,0.136,0.531,0.078,2015-16,
8993,Jon Leuer,PHX,27,208.28,103.418976,Wisconsin,USA,2011,2,40,67,8.5,5.6,1.1,-3,0.065,0.259,0.199,0.555,0.09,2015-16,
8994,Johnny O'Bryant III,MIL,23,205.74,116.573144,Louisiana State,USA,2014,2,36,66,3,2.7,0.5,-5.7,0.09,0.15,0.138,0.441,0.057,2015-16,
8995,John Wall,WAS,25,193.04,88.45044,Kentucky,USA,2010,1,1,77,19.9,4.9,10.2,0.7,0.017,0.138,0.284,0.51,0.449,2015-16,T
8996,John Jenkins,PHX,25,193.04,97.52228,Vanderbilt,USA,2012,1,23,43,4.1,1.3,0.8,-6.6,0.017,0.102,0.174,0.522,0.111,2015-16,
8997,John Henson,MIL,25,210.82,103.872568,North Carolina,USA,2012,1,14,57,7,3.9,0.9,-4.8,0.105,0.152,0.192,0.58,0.096,2015-16,
8998,Amar'e Stoudemire,MIA,33,208.28,111.13004,None,USA,2002,1,9,52,5.8,4.3,0.5,1.8,0.101,0.229,0.18,0.599,0.054,2015-16,
8999,Joffrey Lauvergne,DEN,24,210.82,99.79024,None,France,2013,2,55,59,7.9,4.9,0.9,-9.7,0.083,0.232,0.199,0.567,0.093,2015-16,
9000,Aaron Harrison,CHA,21,198.12,95.25432,Kentucky,USA,Undrafted,Undrafted,Undrafted,21,0.9,0.7,0.1,2.2,0.047,0.133,0.138,0.371,0.033,2015-16,
9001,Adreian Payne,MIN,25,208.28,107.501304,Michigan State,USA,2014,1,15,52,2.5,2.1,0.6,-10.8,0.049,0.22,0.18,0.422,0.093,2015-16,
9002,Al Horford,ATL,30,208.28,111.13004,Florida,Dominican Republic,2007,1,3,82,15.2,7.3,3.2,4.9,0.062,0.18,0.206,0.565,0.165,2015-16,T
9003,Al Jefferson,CHA,31,208.28,131.088088,None,USA,2004,1,15,47,12,6.4,1.5,3.7,0.056,0.244,0.245,0.507,0.114,2015-16,
9004,Al-Farouq Aminu,POR,25,205.74,97.52228,Wake Forest,USA,2010,1,8,82,10.2,6.1,1.7,1.5,0.045,0.185,0.169,0.533,0.087,2015-16,
9005,Alan Anderson,WAS,33,198.12,99.79024,Michigan State,USA,Undrafted,Undrafted,Undrafted,13,5,2.1,1.1,5.4,0.006,0.149,0.157,0.495,0.112,2015-16,
9006,Alan Williams,PHX,23,203.2,117.93392,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,10,2.9,3.8,0.5,-0.2,0.184,0.387,0.201,0.481,0.096,2015-16,
9007,Alec Burks,UTA,24,198.12,97.068688,Colorado,USA,2011,1,12,31,13.3,3.5,2,-2,0.023,0.139,0.251,0.52,0.14,2015-16,
9008,Alex Len,PHX,23,215.9,117.93392,Maryland,Ukraine,2013,1,5,78,9,7.6,1.2,-7.8,0.103,0.248,0.204,0.482,0.087,2015-16,
9009,Alex Stepheson,MEM,28,208.28,122.46984,USC,USA,Undrafted,Undrafted,Undrafted,8,2.8,3.5,0.3,-3.8,0.202,0.122,0.17,0.341,0.053,2015-16,
9010,Alexis Ajinca,NOP,28,218.44,112.490816,None,France,2008,1,20,59,6,4.6,0.5,-3,0.094,0.257,0.206,0.514,0.059,2015-16,
9011,Allen Crabbe,POR,24,198.12,95.25432,California,USA,2013,2,31,81,10.3,2.7,1.2,0.1,0.014,0.097,0.163,0.572,0.072,2015-16,
9012,Aaron Gordon,ORL,20,205.74,99.79024,Arizona,USA,2014,1,4,78,9.2,6.5,1.6,-1.3,0.089,0.21,0.171,0.541,0.103,2015-16,
9013,Jordan McRae,CLE,25,195.58,81.192968,Tennessee,USA,2014,2,58,22,4.5,0.9,1.1,10.6,0.024,0.082,0.253,0.548,0.216,2015-16,
9014,Boris Diaw,SAS,34,203.2,113.398,None,France,2003,1,21,76,6.4,3.1,2.3,10.8,0.049,0.139,0.168,0.582,0.182,2015-16,
9015,Brandan Wright,MEM,28,208.28,95.25432,North Carolina,USA,2007,1,8,12,6.9,3.6,0.5,-13.1,0.073,0.148,0.156,0.663,0.05,2015-16,
9016,Christian Wood,PHI,20,210.82,99.79024,Nevada-Las Vegas,USA,Undrafted,Undrafted,Undrafted,17,3.6,2.2,0.2,-13.5,0.082,0.192,0.187,0.49,0.035,2015-16,
9017,Chuck Hayes,LAC,33,198.12,108.86208,Kentucky,USA,Undrafted,Undrafted,Undrafted,2,2,4,1,-2,0,0.286,0.112,0.694,0.133,2015-16,
9018,Cleanthony Early,NYK,25,203.2,95.25432,Wichita State,USA,2014,2,34,17,1.8,1.5,0.4,0.4,0.028,0.146,0.148,0.371,0.058,2015-16,
9019,Cliff Alexander,POR,20,203.2,108.86208,Kansas,USA,Undrafted,Undrafted,Undrafted,8,1.3,0.8,0,-15.1,0.087,0.118,0.151,0.5,0,2015-16,
9020,Clint Capela,HOU,22,208.28,108.86208,None,Switzerland,2014,1,25,77,7,6.4,0.6,3.1,0.141,0.225,0.159,0.553,0.05,2015-16,
9021,Cody Zeller,CHA,23,213.36,108.86208,Indiana,USA,2013,1,4,73,8.7,6.2,1,4.4,0.086,0.201,0.154,0.592,0.061,2015-16,
9022,Cole Aldrich,LAC,27,210.82,113.398,Kansas,USA,2010,1,11,60,5.5,4.8,0.8,1,0.122,0.284,0.19,0.626,0.107,2015-16,
9023,Corey Brewer,HOU,30,205.74,84.368112,Florida,USA,2007,1,7,82,7.2,2.4,1.3,-2.2,0.027,0.102,0.176,0.481,0.102,2015-16,
9024,Cory Jefferson,PHX,25,205.74,98.883056,Baylor,USA,2014,2,60,8,2.8,2,0,-10.2,0.122,0.196,0.209,0.446,0,2015-16,
9025,Cory Joseph,TOR,24,190.5,86.18248,Texas,Canada,2011,1,29,80,8.5,2.6,3.1,6.9,0.021,0.092,0.17,0.512,0.199,2015-16,
9026,Coty Clarke,BOS,23,200.66,102.0582,None,USA,Undrafted,Undrafted,Undrafted,3,2,0.3,0,24.4,0,0.333,0.363,0.75,0,2015-16,
9027,Courtney Lee,CHA,30,195.58,90.7184,Western Kentucky,USA,2008,1,22,79,9.6,2.6,1.7,2.9,0.014,0.087,0.15,0.551,0.088,2015-16,
9028,Chris Paul,LAC,31,182.88,79.3786,Wake Forest,USA,2005,1,4,74,19.5,4.2,10,11.9,0.018,0.119,0.269,0.575,0.493,2015-16,T
9029,Cristiano Felicio,CHI,23,208.28,124.7378,None,Brazil,Undrafted,Undrafted,Undrafted,31,3.4,3.3,0.8,5.6,0.109,0.252,0.136,0.601,0.115,2015-16,
9030,D.J. Augustin,DEN,28,182.88,83.007336,Texas,USA,2008,1,9,62,7.5,1.5,3.2,-1.4,0.008,0.081,0.183,0.575,0.257,2015-16,
9031,Dahntay Jones,CLE,35,198.12,102.0582,Duke,USA,2003,1,20,1,13,5,2,-6.1,0.028,0.114,0.157,0.464,0.067,2015-16,
9032,Damian Lillard,POR,25,190.5,88.45044,Weber State,USA,2012,1,6,75,25.1,4,6.8,0.9,0.018,0.105,0.31,0.56,0.33,2015-16,
9033,Damien Inglis,MIL,21,203.2,111.583632,None,France,2014,2,31,20,1.8,1.6,0.5,-10,0.016,0.195,0.158,0.444,0.112,2015-16,
9034,Damjan Rudez,MIN,30,205.74,104.32616,None,Croatia,Undrafted,Undrafted,Undrafted,33,2.3,0.6,0.3,-2.1,0.022,0.065,0.126,0.572,0.058,2015-16,
9035,Danilo Gallinari,DEN,27,208.28,102.0582,None,Italy,2008,1,6,53,19.5,5.3,2.5,-3.5,0.03,0.143,0.228,0.582,0.122,2015-16,
9036,Danny Green,SAS,29,198.12,97.52228,North Carolina,USA,2009,2,46,79,7.2,3.8,1.8,12.7,0.026,0.134,0.145,0.492,0.092,2015-16,
9037,Dante Cunningham,NOP,29,203.2,104.32616,Villanova,USA,2009,2,33,80,6.1,3,1,-6.4,0.031,0.108,0.111,0.54,0.056,2015-16,
9038,Darrell Arthur,DEN,28,205.74,106.59412,Kansas,USA,2008,1,27,70,7.5,4.2,1.4,-2.1,0.062,0.151,0.168,0.514,0.102,2015-16,
9039,Darren Collison,SAC,28,182.88,79.3786,UCLA,USA,2009,1,21,74,14,2.3,4.3,-2.4,0.014,0.07,0.193,0.591,0.219,2015-16,
9040,Darrun Hilliard,DET,23,198.12,92.98636,Villanova,USA,2015,2,38,38,4,1.2,0.7,-0.1,0.014,0.115,0.198,0.511,0.117,2015-16,
9041,David Lee,DAL,33,205.74,111.13004,Florida,USA,2005,1,30,55,7.8,5.5,1.5,-3,0.122,0.247,0.215,0.568,0.162,2015-16,
9042,D'Angelo Russell,LAL,20,195.58,88.45044,Ohio State,USA,2015,1,2,80,13.2,3.4,3.3,-13,0.021,0.113,0.241,0.507,0.213,2015-16,
9043,Bradley Beal,WAS,23,195.58,93.893544,Florida,USA,2012,1,3,55,17.4,3.4,2.9,-1.6,0.027,0.099,0.25,0.547,0.153,2015-16,
9044,Chris McCullough,BKN,21,210.82,90.7184,Syracuse,USA,2015,1,29,24,4.7,2.8,0.4,-16.1,0.074,0.145,0.16,0.47,0.038,2015-16,
9045,Chris Johnson,UTA,26,198.12,93.439952,Dayton,USA,Undrafted,Undrafted,Undrafted,70,2.9,1.9,0.6,4.6,0.037,0.134,0.137,0.482,0.082,2015-16,
9046,Branden Dawson,LAC,23,198.12,102.0582,Michigan State,USA,2015,2,56,6,0.8,0.7,0,-24.6,0.111,0.067,0.092,0.46,0,2015-16,
9047,Brandon Bass,LAL,31,203.2,113.398,Louisiana State,USA,2005,2,33,66,7.2,4.3,1.1,-2.6,0.085,0.153,0.138,0.619,0.088,2015-16,
9048,Brandon Jennings,ORL,26,185.42,76.657048,None,USA,2009,1,10,48,6.9,2,3.5,0.4,0.02,0.103,0.198,0.491,0.298,2015-16,
9049,Brandon Knight,PHX,24,190.5,85.728888,Kentucky,USA,2011,1,8,52,19.6,3.9,5.1,-6.8,0.021,0.099,0.263,0.522,0.234,2015-16,
9050,Brandon Rush,GSW,30,198.12,99.79024,Kansas,USA,2008,1,13,72,4.2,2.5,0.8,0.2,0.023,0.154,0.128,0.56,0.072,2015-16,
9051,Briante Weber,MIA,23,187.96,74.84268,Virginia Commonwealth,USA,Undrafted,Undrafted,Undrafted,7,4.4,3.6,3,-22.5,0.04,0.127,0.118,0.38,0.175,2015-16,
9052,Brook Lopez,BKN,28,213.36,124.7378,Stanford,USA,2008,1,10,73,20.6,7.8,2,-3.7,0.094,0.167,0.276,0.562,0.106,2015-16,
9053,Bruno Caboclo,TOR,20,205.74,92.98636,None,Brazil,2014,1,20,6,0.5,0.3,0.2,-2.5,0.022,0.024,0.164,0.125,0.033,2015-16,
9054,Bryce Cotton,MEM,23,185.42,74.84268,Providence,USA,Undrafted,Undrafted,Undrafted,8,1,0,0.4,-31,0,0,0.179,0.4,0.136,2015-16,
9055,Bryce Dejean-Jones,NOP,23,198.12,92.079176,Iowa State,USA,Undrafted,Undrafted,Undrafted,14,5.6,3.4,1.1,-7,0.028,0.175,0.141,0.505,0.076,2015-16,
9056,C.J. Watson,ORL,32,187.96,79.3786,Tennessee,USA,Undrafted,Undrafted,Undrafted,33,4.3,2,2.7,-2.3,0.017,0.094,0.12,0.461,0.18,2015-16,
9057,CJ McCollum,POR,24,193.04,90.7184,Lehigh,USA,2013,1,10,80,20.8,3.2,4.3,2,0.018,0.084,0.27,0.544,0.211,2015-16,
9058,Chris Kaman,POR,34,213.36,120.20188,Central Michigan,USA,2003,1,6,16,2.8,1.5,0.7,-13.2,0.077,0.17,0.213,0.496,0.186,2015-16,
9059,CJ Miles,IND,29,198.12,104.779752,None,USA,2005,2,34,64,11.8,2.7,1,-0.5,0.019,0.112,0.225,0.547,0.069,2015-16,
9060,Cameron Bairstow,DET,25,205.74,113.398,New Mexico,Australia,2014,2,49,18,1.9,1.6,0.3,-7.1,0.038,0.235,0.198,0.391,0.091,2015-16,
9061,Cameron Payne,OKC,21,190.5,83.91452,Murray State,USA,2015,1,14,57,5,1.5,1.9,-2.8,0.014,0.121,0.206,0.49,0.241,2015-16,
9062,Carl Landry,PHI,32,205.74,112.490816,Purdue,USA,2007,2,31,36,9.8,4.1,0.9,-10.4,0.09,0.202,0.239,0.605,0.102,2015-16,
9063,Carmelo Anthony,NYK,32,203.2,108.86208,Syracuse,USA,2003,1,3,72,21.8,7.7,4.2,-0.7,0.043,0.195,0.295,0.53,0.209,2015-16,T
9064,Caron Butler,SAC,36,200.66,103.418976,Connecticut,USA,2002,1,10,17,3.7,1.3,0.6,-12.4,0.029,0.115,0.163,0.49,0.099,2015-16,
9065,Chandler Parsons,DAL,27,208.28,104.32616,Florida,USA,2011,2,38,61,13.7,4.7,2.8,1.3,0.018,0.158,0.208,0.589,0.158,2015-16,
9066,Channing Frye,CLE,33,210.82,115.66596,Arizona,USA,2005,1,8,70,6.1,3.3,1,3.7,0.033,0.192,0.156,0.586,0.086,2015-16,
9067,Charlie Villanueva,DAL,31,210.82,105.233344,Connecticut,USA,2005,1,7,62,5.1,2.5,0.4,-7.9,0.036,0.213,0.244,0.473,0.063,2015-16,
9068,Chase Budinger,PHX,28,200.66,94.800728,Arizona,USA,2009,2,44,66,4.1,2.3,1,-0.1,0.048,0.129,0.142,0.514,0.098,2015-16,
9069,Chris Andersen,MEM,37,208.28,111.13004,Blinn,USA,Undrafted,Undrafted,Undrafted,27,3.9,3.6,0.4,-10.7,0.1,0.191,0.109,0.598,0.045,2015-16,
9070,Chris Bosh,MIA,32,210.82,106.59412,Georgia Tech,USA,2003,1,4,53,19.1,7.4,2.4,1.7,0.032,0.211,0.253,0.571,0.129,2015-16,T
9071,Chris Copeland,MIL,32,205.74,108.408488,Colorado,USA,Undrafted,Undrafted,Undrafted,24,2.1,0.4,0.5,-26.2,0.007,0.073,0.177,0.462,0.12,2015-16,
9072,CJ Wilcox,LAC,25,195.58,88.45044,Washington,USA,2014,1,28,23,3,0.5,0.4,8.8,0.007,0.063,0.2,0.491,0.09,2015-16,
9073,Zaza Pachulia,DAL,32,210.82,124.7378,None,Georgia,2003,2,42,76,8.6,9.4,1.7,0.9,0.137,0.262,0.164,0.55,0.101,2015-16,
9074,Monta Ellis,IND,30,190.5,83.91452,None,USA,2005,2,40,81,13.8,3.3,4.7,2.5,0.017,0.091,0.21,0.504,0.222,2015-16,
